;userName;content;step01
6767;Ben Abraham;Pengurusan passpor yg simple dan cepat;pengurusan passpor yg simple dan cepat
6768;Kristanto Kusuma;Loading nya setengah jam. Giliranuda mau selsai daftar server eror. Paten;loading nya setengah jam giliranuda mau selsai daftar server eror paten
6769;Maba Property;Aplikasinya sangat sangat sangat lemot.;aplikasinya sangat sangat sangat lemot
6770;Adi Haeffy;Mau buka aplikasi kok susah sih;mau buka aplikasi kok susah sih
6771;poppy pyola;Parah ih, lemot,coba berkali2 gak bisa,padahal jaringan pake wifi;parah ih lemot coba berkali gak bisa padahal jaringan pake wifi
6772;Rosa's Family;Daftar nya harus online tapi masuk ke akunya aja gak bisa gagal terus lelet server eror terus yg katanya email ga valid no tlp ga valid parah sih ini;daftar nya harus online tapi masuk ke akunya aja gak bisa gagal terus lelet server eror terus yg katanya email ga valid no tlp ga valid parah sih ini
6773;Agung Trinugroho;Ampun susah banget upload datanya;ampun susah banget upload datanya
6774;yus fendhy;buruk;buruk
6775;Banana Banyuwangi;Ya Allah, menguji kesabaran bgt.. daftar aja, loadingY super lemot;ya allah menguji kesabaran bgt daftar aja loadingy super lemot
6776;lenggasari 27;Verifika kode OTP waktunya 3 DETIK, Sementara kodenya dikirim 5 MENIT kemudian,;verifika kode otp waktunya   detik sementara kodenya dikirim   menit kemudian
6777;Moenasa Channel;Aplikasi asal ada aja. Tidak ada pngembangannya. Lelet luar biasa;aplikasi asal ada aja tidak ada pngembangannya lelet luar biasa
6778;jelly Turangan;"Apk jelek tidak berguna,buang"" waktu, menunggu loading yang sangat"" tidak jelas,valid"" gak jelas,udah nahan laper 12 jam di kantor pos tetap aja gak jadi"" apknya!! Bikin emosi😡 mending main lato-lato aja😡.";apk jelek tidak berguna buang waktu menunggu loading yang sangat tidak jelas valid gak jelas udah nahan laper   jam di kantor pos tetap aja gak jadi apknya bikin emosi mending main lato lato aja
6779;Fauziah Alyaa R;loadingnya terlalu lama. Apalagi waktu mau daftar akun. Mau verifikasi otp ngga bisa bisa. Perlu perbaikan lagi sistemnya;loadingnya terlalu lama apalagi waktu mau daftar akun mau verifikasi otp ngga bisa bisa perlu perbaikan lagi sistemnya
6780;liesradit erdayanti;aplikasinya bener2 error, ga bisa masuk sama sekali;aplikasinya bener error ga bisa masuk sama sekali
